,time,overall,housing,apparel,transportation,medical,food,other_goods,education,recreation
0,1995-01-01 00:00:00,150.3,146.4,129.4,4.3,4.9,147.5,203,5.8,1.5
1,1995-02-01 00:00:00,150.9,147,131.1,4.2,4.9,147.4,204.1,6,1.5
2,1995-03-01 00:00:00,151.4,147.4,134.4,4.4,4.8,147.4,204,5.9,1.4
3,1995-04-01 00:00:00,151.9,147.4,134.8,4.9,4.6,148.4,204.3,5.9,1.8
4,1995-05-01 00:00:00,152.2,147.6,133.4,5.6,4.6,148.3,204.9,5.7,1.9
5,1995-06-01 00:00:00,152.5,148.5,130.5,5.5,4.5,147.9,205.3,5.6,1.7
6,1995-07-01 00:00:00,152.5,149.2,128.3,4.1,4.4,148.1,205.7,5.6,1.7
7,1995-08-01 00:00:00,152.9,149.6,130.1,2.4,4.4,148.4,207.7,5.9,2.2
8,1995-09-01 00:00:00,153.2,149.5,132.7,2.1,4.4,148.9,210.2,5.6,2.4
9,1995-10-01 00:00:00,153.7,149.7,134.5,2.4,4.2,149.4,210.7,5.5,2.4
10,1995-11-01 00:00:00,153.6,149.4,133.7,1.7,4.1,149.4,211.2,5.5,2.5
11,1995-12-01 00:00:00,153.5,149.7,130.6,1.5,3.9,149.9,211.1,5.6,2.8
12,1996-01-01 00:00:00,154.4,150.6,130,1.9,4,151,212,5.6,2.7
13,1996-02-01 00:00:00,154.9,151.2,131.2,2.1,3.8,150.8,212.6,5.3,3.2
14,1996-03-01 00:00:00,155.7,151.7,134.8,2.3,3.8,151.6,213,5.4,3.2
15,1996-04-01 00:00:00,156.3,151.8,134.9,2.9,3.7,152.3,213.3,5.5,2.9
16,1996-05-01 00:00:00,156.6,152,133.7,2.9,3.7,152,214.1,5.5,2.8
17,1996-06-01 00:00:00,156.7,152.7,130.8,2.1,3.6,152.6,214,5.5,3.3
18,1996-07-01 00:00:00,157,153.6,128.3,2.4,3.6,153.2,214.6,5.4,3.4
19,1996-08-01 00:00:00,157.3,154,128.1,2.6,3.4,153.7,216.3,5.3,3.2
20,1996-09-01 00:00:00,157.8,153.9,131.5,3.2,3.3,154.6,218.3,5,2.9
21,1996-10-01 00:00:00,158.3,154,133.4,3.2,3.2,155.4,218.8,5,3.2
22,1996-11-01 00:00:00,158.6,153.9,133.4,3.9,3.1,155.9,219.2,5,3
23,1996-12-01 00:00:00,158.6,154,130.3,4.4,3,156.3,218.7,4.9,3
24,1997-01-01 00:00:00,159.1,155.1,129.6,3.6,2.9,156.5,220,4.9,2.9
25,1997-02-01 00:00:00,159.6,155.8,131.9,3.1,2.9,156.5,220.7,4.9,2.5
26,1997-03-01 00:00:00,160,155.9,134.5,2.6,3,156.6,221.4,4.8,2.6
27,1997-04-01 00:00:00,160.2,155.8,136.1,1.2,3,156.6,222.7,4.7,2.3
28,1997-05-01 00:00:00,160.1,155.9,135.3,0,3,156.6,223.1,4.9,2.4
29,1997-06-01 00:00:00,160.3,156.9,132.4,0,2.9,156.6,223.1,4.9,2.6
30,1997-07-01 00:00:00,160.5,157.5,130.2,0.1,2.7,157,223.5,5,2.4
31,1997-08-01 00:00:00,160.8,157.6,130,0.7,2.6,157.6,225.7,5,2.5
32,1997-09-01 00:00:00,161.2,157.7,133,0.8,2.6,157.9,228.1,5,2.1
33,1997-10-01 00:00:00,161.6,157.7,134.9,0.4,2.5,158.2,229.4,5.2,1.9
34,1997-11-01 00:00:00,161.5,157.7,134.7,-0.6,2.6,158.5,229.9,5,1.6
35,1997-12-01 00:00:00,161.3,157.7,131.6,-1.4,2.8,158.7,230.1,5.2,1.5
36,1998-01-01 00:00:00,161.6,158.3,129.8,-1.6,2.7,159.9,231.3,5,1.5
37,1998-02-01 00:00:00,161.9,158.8,131.9,-1.9,2.8,159.4,233.1,5,1.5
38,1998-03-01 00:00:00,162.2,159.2,134.9,-2.4,2.7,159.7,232.4,5.1,1.6
